Current Year Week Ending,Geography,Timeframe,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Elasticity,California Supplier,Unidades pequeñas,Unidades medianas,Unidades grandes,Unidades Aguacates en Bolsas,Total Unidades en Granel y Bolsas,tasa_consumo_interno_california,Quarter
2022-03-20,California,Weekly,Organic and Conventional,1.6772869605,6041096.569999999,3508661.36,456629.73,540186.94,1535618.54,0.613029196249135,7576490,18466638.736842103,913259.46,857439.5873015872,3071237.08,23308574.86414369,1.9510901510456495,2022Q1
2022-03-27,California,Weekly,Organic and Conventional,1.6995526105,6681907.83,4141707.49,531703.53,522950.01,1485546.79,0.6342694693288273,6952970,21798460.47368421,1063407.06,830079.380952381,2971093.58,26663040.494636588,1.5652571136407842,2022Q1
2022-04-03,California,Weekly,Organic and Conventional,1.742892265,5996178.039999999,3392329.36,514643.55,547315.47,1541889.65,-2.604199428259817,5472317,17854365.05263158,1029287.1,868754.7142857142,3083779.3,22836186.16691729,1.4383768189765387,2022Q2
2022-04-10,California,Weekly,Organic and Conventional,1.7725450125,6255838.08,3674289.2,494867.04,510145.41,1576536.42,-168.39402266355987,8757166,19338364.21052632,989734.08,809754.619047619,3153072.84,24290925.74957393,2.163936531301836,2022Q2
2022-04-17,California,Weekly,Organic and Conventional,1.8044388765,6358828.07,3772020.21,589679.05,454381.06,1542747.75,-0.5193374800237398,11074596,19852737.94736842,1179358.1,721239.7777777778,3085495.5,24838831.3251462,2.6762195369058994,2022Q2
2022-04-24,California,Weekly,Organic and Conventional,1.7683867665,6014502.42,3485713.18,576716.29,422167.8,1529905.16,15.456957396037428,13582443,18345858.842105266,1153432.58,670107.619047619,3059810.32,23229209.36115288,3.5096876368036996,2022Q2
2022-05-01,California,Weekly,Organic and Conventional,1.7480378245,7602062.23,3858764.94,712060.36,560003.66,2471233.26,-0.1391199605793938,15179931,20309289.157894734,1424120.72,888894.6984126985,4942466.52,27564771.096307434,3.3055247255498177,2022Q2
2022-05-08,California,Weekly,Organic and Conventional,1.784792063,6547170.05,3676075.52,536803.02,651031.97,1683259.53,-1.5158822335841928,14357970,19347765.89473684,1073606.04,1033384.0793650792,3366519.06,24821275.07410192,3.472113848296534,2022Q2
2022-05-15,California,Weekly,Organic and Conventional,1.8243178085,6360687.11,3965534.21,386271.8,536176.84,1472704.26,-0.9401766956532316,12408200,20871232.684210528,772543.6,851074.3492063491,2945408.52,25440259.15341688,2.9276034944257003,2022Q2
2022-05-22,California,Weekly,Organic and Conventional,1.8494114335000005,5659833.42,3347504.13,410365.67,419224.61,1482739.02,0.2081699751756045,12076707,17618442.789473683,820731.34,665435.8888888889,2965478.04,22070088.05836257,3.2845015164138034,2022Q2
2022-05-29,California,Weekly,Organic and Conventional,1.8768113325,5848357.4,3657655.0,418508.17,338693.71,1433500.52,-4.75731674662968,13654702,19250815.789473683,837016.34,537609.0634920635,2867001.04,23492442.232965745,3.488824005004799,2022Q2
2022-06-05,California,Weekly,Organic and Conventional,1.8358624765,6066340.48,3908092.45,423231.75,312699.3,1422316.98,-2.349282355580564,9778625,20568907.63157895,846463.5,496348.0952380952,2844633.96,24756353.186817046,2.370915766482608,2022Q2
2022-06-12,California,Weekly,Organic and Conventional,1.8342305775,5875788.14,3425625.8800000004,487346.26,457750.16,1505065.86,-1.2243189708439424,11579045,18029609.894736845,974692.52,726587.5555555555,3010131.72,22741021.6902924,3.0562422293453997,2022Q2
2022-06-19,California,Weekly,Organic and Conventional,1.857480604,6201390.680000001,3694865.79,454894.12,589551.85,1462078.93,-10.361586314413898,11341954,19446662.05263158,909788.24,935796.5873015872,2924157.86,24216404.739933163,2.811274271030407,2022Q2
2022-06-26,California,Weekly,Organic and Conventional,1.8228689345,6257396.96,3839628.14,410578.73,551098.9199999999,1456091.1700000002,-1.524421570952129,10692633,20208569.157894734,821157.46,874760.1904761903,2912182.3400000003,24816669.14837093,2.586224211013767,2022Q2
2022-07-03,California,Weekly,Organic and Conventional,1.862831054,6161504.96,3615241.21,420235.38,630974.81,1495053.55,-1.3094384778903154,11415143,19027585.315789472,840470.76,1001547.3174603176,2990107.1,23859710.493249796,2.8717140271046917,2022Q3
2022-07-10,California,Weekly,Organic and Conventional,1.8567121815,6133429.21,3523041.72,421925.58,672301.36,1516160.54,-1.0886835224444456,8920795,18542324.842105266,843851.16,1067145.015873016,3032321.08,23485642.09797828,2.279954205722976,2022Q3
2022-07-17,California,Weekly,Organic and Conventional,1.878975507,6509007.54,3902679.7,477535.76,625921.68,1502870.42,8.430664210776213,9133156,20540419.47368421,955071.52,993526.4761904762,3005740.84,25494758.309874687,2.1502798214213685,2022Q3
2022-07-24,California,Weekly,Organic and Conventional,1.854892409,6149985.3100000005,3594465.3800000004,420065.77,622201.2,1513252.97,0.2499824620606398,6484828,18918238.842105266,840131.54,987620.9523809524,3026505.94,23772497.274486218,1.6373768967428477,2022Q3
2022-07-31,California,Weekly,Organic and Conventional,1.8071370885,6442245.840000001,3904967.44,472833.58,558933.49,1505511.33,-0.9193436464201794,4243337,20552460.210526317,945667.16,887196.0158730159,3011022.66,25396346.04639933,1.0029084513771918,2022Q3
2022-08-07,California,Weekly,Organic and Conventional,1.8567591455,6654050.73,3933308.6,587075.48,608642.71,1525023.9500000002,0.6306812772097722,2357179,20701624.21052632,1174150.96,966099.5396825396,3050047.9000000004,25891922.61020886,0.5464535680258326,2022Q3
2022-08-14,California,Weekly,Organic and Conventional,1.7695559815,6192681.87,3569039.65,433012.72,722253.6699999999,1468375.83,2.0091718702494465,2234021,18784419.210526317,866025.44,1146434.3968253967,2936751.66,23733630.70735171,0.564999513191408,2022Q3
2022-08-21,California,Weekly,Organic and Conventional,1.746004342,6180808.63,3375296.3,770373.55,661154.82,1373983.96,-1.3647898111681167,2082533,17764717.36842105,1540747.1,1049452.0952380951,2747967.92,23102884.48365915,0.5410665533160235,2022Q3
2022-08-28,California,Weekly,Organic and Conventional,1.6847782525,6467984.38,3921612.88,615481.34,601473.1499999999,1329417.02,-3.3993228883200675,1760630,20640067.789473683,1230962.68,954719.2857142856,2658834.04,25484583.79518797,0.41468235415626514,2022Q3
2022-09-04,California,Weekly,Organic and Conventional,1.7355815175,6942087.4,4154790.98,661861.4199999999,767750.6900000001,1357684.33,-1.501641018952924,1365900,21867320.94736842,1323722.84,1218651.888888889,2715368.66,27125064.33625731,0.30225474749675607,2022Q3
2022-09-11,California,Weekly,Organic and Conventional,1.6859811595,6421625.17,3531339.94,688681.82,811913.72,1389689.69,-2.1932991282679537,484625,18585999.684210524,1377363.64,1288751.9365079366,2779379.38,24031494.64071846,0.12104588619708108,2022Q3
2022-09-18,California,Weekly,Organic and Conventional,1.665417428,6770882.45,4206074.84,627871.11,669514.97,1267421.53,3.934062364917314,455125,22137236.0,1255742.22,1062722.1746031744,2534843.06,26990543.454603173,0.10121481035347321,2022Q3
2022-09-25,California,Weekly,Organic and Conventional,1.6522288,6017979.46,3389857.51,722808.26,614801.2,1290512.48,-9.235484103966195,345600,17841355.315789472,1445616.52,975874.9206349206,2581024.96,22843871.716424394,0.09080902736891489,2022Q3
2022-10-02,California,Weekly,Organic and Conventional,1.600644102,6008632.18,3092572.46,873506.8,736763.0299999999,1305789.88,1.521795170580473,345600,16276697.157894736,1747013.6,1169465.1269841269,2611579.76,21804755.644878864,0.09513657505242307,2022Q4
2022-10-09,California,Weekly,Organic and Conventional,1.6160269915,6663356.17,3674166.1,871149.81,847350.34,1270689.92,-1.8793923935165444,14400,19337716.315789472,1742299.62,1345000.5396825396,2541379.84,24966396.31547201,0.0034620364403959714,2022Q4
2022-10-16,California,Weekly,Organic and Conventional,1.5955749629999998,5666998.16,3098022.72,591305.58,625013.8,1352656.0699999998,-37.67352366838292,0,16305382.736842103,1182611.16,992085.3968253968,2705312.14,21185391.4336675,0.0,2022Q4
2022-10-23,California,Weekly,Organic and Conventional,1.610901775,5982159.03,3514695.51,570210.0900000001,585558.63,1311694.8,2.193856119394608,0,18498397.42105263,1140420.1800000002,929458.1428571428,2623389.6,23191665.34390977,0.0,2022Q4
2022-10-30,California,Weekly,Organic and Conventional,1.5210523075,6248255.79,3292157.0,991257.9,674051.27,1290789.62,2.7863484569089265,0,17327142.10526316,1982515.8,1069922.650793651,2581579.24,22961159.796056807,0.0,2022Q4
2022-11-06,California,Weekly,Organic and Conventional,1.5439504240000002,6199121.859999999,3467757.95,503637.89,736313.8099999999,1491412.21,-7.009227683109397,0,18251357.63157895,1007275.78,1168752.0793650793,2982824.42,23410209.91094403,0.0,2022Q4
2022-11-13,California,Weekly,Organic and Conventional,1.577519392,5532188.22,3183589.76,335039.51,533206.1499999999,1480352.8,1.052425528266729,0,16755735.578947367,670079.02,846358.968253968,2960705.6,21232879.167201336,0.0,2022Q4
2022-11-20,California,Weekly,Organic and Conventional,1.5063493074999998,5277544.37,2918415.88,420024.35,579860.9800000001,1359243.16,-4.935102827094642,0,15360083.578947367,840048.7,920414.253968254,2718486.32,19839032.852915622,0.0,2022Q4
2022-11-27,California,Weekly,Organic and Conventional,1.502071605,5081424.54,2677306.55,369652.14,562130.36,1472335.5,7.318941320389331,0,14091087.105263157,739304.28,892270.4126984127,2944671.0,18667332.79796157,0.0,2022Q4
2022-12-04,California,Weekly,Organic and Conventional,1.4570453435,5759488.19,3418525.84,473670.62,585497.46,1281794.27,-14.003194605077798,0,17992241.263157893,947341.24,929361.0476190476,2563588.54,22432532.09077694,0.0,2022Q4
2022-12-11,California,Weekly,Organic and Conventional,1.445170095,5552875.909999999,3055288.45,437408.74,735072.85,1325105.88,7.547531384649941,239157,16080465.52631579,874817.48,1166782.3015873015,2650211.76,20772277.06790309,0.06910731075798734,2022Q4
2022-12-18,California,Weekly,Organic and Conventional,1.438181893,5679172.16,3100008.73,525145.0700000001,669284.1,1384734.25,-1.4050114736622556,0,16315835.421052633,1050290.14,1062355.7142857143,2769468.5,21197949.775338344,0.0,2022Q4
2022-12-25,California,Weekly,Organic and Conventional,1.5114720915,5581295.600000001,2916871.97,560298.73,672088.58,1432036.34,1.968779737934056,0,15351957.736842103,1120597.46,1066807.2698412698,2864072.68,20403435.146683373,0.0,2022Q4
2023-01-01,California,Weekly,Organic and Conventional,1.483105062,6624635.25,3577799.92,547296.1900000001,1122104.37,1377434.78,-0.5668619258448528,0,18830525.89473684,1094592.38,1781118.0476190478,2754869.56,24461105.882355887,0.0,2023Q1
2023-01-09,California,Weekly,Organic and Conventional,1.240652296,6900252.68,4082956.55,468921.39,904392.67,1443982.06,-2.3156126096223426,0,21489245.0,937842.78,1435543.9206349207,2887964.12,26750595.820634924,0.0,2023Q1
2023-01-15,California,Weekly,Organic and Conventional,1.247303484,6314631.72,3495850.88,619151.19,750130.23,1449499.4200000002,-0.8039714304529426,0,18399215.15789473,1238302.38,1190682.9047619046,2898998.8400000003,23727199.28265664,0.0,2023Q1
2023-01-22,California,Weekly,Organic and Conventional,1.395019788,6393184.16,3557513.71,609330.0599999999,756400.42,1469939.95,-1.3627403700151448,73850,18723756.36842105,1218660.12,1200635.5873015877,2939879.9,24082931.97572264,0.018406285055790787,2023Q1
2023-01-29,California,Weekly,Organic and Conventional,1.358003392,6944959.489999999,4123559.13,412992.79,829266.0,1579141.56,-0.706308311169406,202930,21702942.789473683,825985.58,1316295.238095238,3158283.12,27003506.72756892,0.0451077424565449,2023Q1
2023-02-05,California,Weekly,Organic and Conventional,1.4183018105,6519015.13,3786333.57,417386.4,822049.96,1493245.21,-3.636493425596475,163025,19928071.42105263,834772.8,1304841.2063492064,2986490.42,25054175.847401835,0.0390570187790912,2023Q1
2023-02-12,California,Weekly,Organic and Conventional,1.331903537,8262067.06,4432465.47,693447.13,1564800.2899999998,1571354.1800000002,-3.120661745614699,493996,23328765.631578945,1386894.26,2483809.984126984,3142708.3600000003,30342178.23570593,0.09772410015496516,2023Q1
2023-02-19,California,Weekly,Organic and Conventional,1.4230622325,6290800.94,3378274.79,530963.02,952153.85,1429409.27,-2.322408135363388,771052,17780393.63157895,1061926.04,1511355.3174603174,2858818.54,23212493.529039264,0.199382425654366,2023Q1
2023-02-26,California,Weekly,Organic and Conventional,1.3447492415000002,6558029.41,3845879.43,552251.59,707779.05,1452119.34,-1.102668300772517,528320,20241470.684210528,1104503.18,1123458.8095238097,2904238.68,25373671.353734337,0.12497948882448343,2023Q1
2023-03-05,California,Weekly,Organic and Conventional,1.4048595885,6527525.0,3544940.23,715571.44,728015.91,1538997.41,-0.6035610810204594,305633,18657580.157894734,1431142.88,1155580.8095238097,3077994.82,24322298.667418547,0.07542592243481396,2023Q1
2023-03-12,California,Weekly,Organic and Conventional,1.3109085105,6876212.91,3307826.26,1129912.5,894059.11,1544415.03,-0.9129975055561166,1424850,17409611.89473684,2259825.0,1419141.4444444445,3088830.06,24177408.399181284,0.35374018865863943,2023Q1
2023-03-19,California,Weekly,Organic and Conventional,1.30692449,6720866.25,3400991.96,962606.85,791300.35,1565967.09,8.0798585138361,1015807,17899957.684210528,1925213.7,1256032.3015873015,3131934.18,24213137.86579783,0.2518170485031449,2023Q1
2023-03-26,California,Weekly,Organic and Conventional,1.2663027960000002,6699740.97,3498237.16,944442.75,708578.4700000001,1548482.59,-0.8071845634647423,863874,18411774.526315782,1888885.5,1124727.7301587302,3096965.18,24522352.93647452,0.21145271584189068,2023Q1
2023-04-02,California,Weekly,Organic and Conventional,1.3417432995,6684423.0,3503631.45,640463.6000000001,959199.29,1581128.65,0.5680467374053898,2417313,18440165.52631579,1280927.2000000002,1522538.5555555555,3162257.3,24405888.581871346,0.5945156155275931,2023Q2
2023-04-09,California,Weekly,Organic and Conventional,1.29806378,7307305.99,3462768.28,1030727.37,1195286.89,1618523.4500000002,-2.4778661084093736,4867815,18225096.210526317,2061454.74,1897280.7777777773,3237046.9000000004,25420878.628304087,1.1493929009377306,2023Q2
2023-04-16,California,Weekly,Organic and Conventional,1.363059701,6886079.19,3471822.1,1083539.5,818414.06,1512303.5299999998,-1.7646590526564938,7032154,18272747.89473684,2167079.0,1299069.9365079366,3024607.06,24763503.891244777,1.704516780361308,2023Q2
2023-04-23,California,Weekly,Organic and Conventional,1.318522028,7125386.75,3334890.6500000004,1218563.84,993434.59,1578497.66,-1.3172765836821454,9505468,17552056.05263158,2437127.68,1576880.3015873015,3156995.32,24723059.35421888,2.3077900446962505,2023Q2
2023-04-30,California,Weekly,Organic and Conventional,1.403257322,6709753.02,3217970.67,1052229.49,889754.77,1549798.11,-0.6025268056848725,12432701,16936687.736842103,2104458.98,1412309.1587301588,3099596.22,23553052.095572263,3.1684240377746193,2023Q2
2023-05-07,California,Weekly,Organic and Conventional,1.3073944544999998,8050934.58,3592746.5500000003,1440592.56,1416690.2200000002,1600905.28,1.4514920615007227,9900439,18909192.36842105,2881185.12,2248714.6349206357,3201810.56,27240902.68334169,2.1815137792098596,2023Q2
2023-05-14,California,Weekly,Organic and Conventional,1.3987734134999998,6518143.81,3038636.93,894223.29,1019564.33,1565719.2599999998,-1.809618200766003,11810377,15992825.947368424,1788446.58,1618356.0793650793,3131438.52,22531067.1267335,3.146349786654622,2023Q2
2023-05-21,California,Weekly,Organic and Conventional,1.409731139,6702609.02,3140987.89,1342679.72,707129.4500000001,1511811.96,-1.014587416716847,10572446,16531515.210526314,2685359.44,1122427.6984126985,3023623.92,23362926.26893901,2.71627189563063,2023Q2
2023-05-28,California,Weekly,Organic and Conventional,1.39589792,6879044.279999999,3341738.46,1066320.41,1017506.26,1453479.14,-6.954532823406368,11821530,17588097.157894738,2132640.82,1615089.3015873015,2906958.28,24242785.55948204,2.9269558504780226,2023Q2
2023-06-04,California,Weekly,Organic and Conventional,1.4002157925,7025784.77,3254874.35,1465934.98,836642.2000000001,1468333.24,20.768158807373453,9541482,17130917.63157895,2931869.96,1328003.492063492,2936666.48,24327457.56364244,2.354204115677145,2023Q2
2023-06-11,California,Weekly,Organic and Conventional,1.435270833,6686044.149999999,2897217.24,1067789.87,1217132.5599999998,1503904.49,-1.719674794623166,10934561,15248511.789473685,2135579.74,1931956.4444444445,3007808.98,22323856.95391813,2.9400662969334945,2023Q2
2023-06-18,California,Weekly,Organic and Conventional,1.4615141315,6512856.63,3117628.58,827257.99,1119307.8199999998,1448662.23,-1.308252114834887,12278471,16408571.47368421,1654515.98,1776679.079365079,2897324.46,22737090.99304929,3.2414131669253163,2023Q2
2023-06-25,California,Weekly,Organic and Conventional,1.422566027,6616829.66,3057693.61,1193611.16,999991.96,1365532.9300000002,3.921558030213893,14239754,16093124.263157891,2387222.32,1587288.825396825,2731065.8600000003,22798701.26855472,3.7490167566309127,2023Q2
2023-07-02,California,Weekly,Organic and Conventional,1.484816244,6912714.899999999,3161045.46,929927.77,1444763.43,1376978.25,4.283693035403554,15269673,16637081.368421052,1859855.54,2293275.285714285,2753956.5,23544168.694135334,3.8928832472552934,2023Q3
2023-07-09,California,Weekly,Organic and Conventional,1.4654206885,6687620.19,3329464.04,919872.41,950398.86,1487884.88,9.98479940192246,11692051,17523494.94736842,1839744.82,1508569.619047619,2975769.76,23847579.14641604,2.9428722186171106,2023Q3
2023-07-16,California,Weekly,Organic and Conventional,1.454193449,6556912.24,3221559.03,1153145.96,832614.1,1349593.14,-0.4154755186845513,15539883,16955573.842105262,2306291.92,1321609.6825396826,2699186.28,23282661.724644948,4.006269117620821,2023Q3
2023-07-23,California,Weekly,Organic and Conventional,1.4983746025,6314111.76,3276223.86,823732.5499999999,900166.29,1313989.07,-1.475881393404734,11230357,17243283.47368421,1647465.1,1428835.380952381,2627978.14,22947562.094636597,2.937527976360158,2023Q3
2023-07-30,California,Weekly,Organic and Conventional,1.511314382,6090871.609999999,3226197.3200000003,789223.24,725107.29,1350343.76,27.348128145760462,9845532,16979985.894736845,1578446.48,1150963.9523809524,2700687.52,22410083.8471178,2.6370642401631827,2023Q3
2023-08-06,California,Weekly,Organic and Conventional,1.5190907365,6026994.81,3169548.65,923830.31,628232.54,1305383.31,14.069699532721284,8544499,16681835.0,1847660.62,997194.507936508,2610766.62,22137456.74793651,2.316775119544032,2023Q3
2023-08-13,California,Weekly,Organic and Conventional,1.4572348965000002,6420428.380000001,3935396.35,471382.25,598518.7000000001,1415131.0799999998,-1.299682722357256,6082718,20712612.36842105,942764.5,950029.6825396826,2830262.16,25435668.71096073,1.4354217606715685,2023Q3
2023-08-20,California,Weekly,Organic and Conventional,1.4898862115,6727815.28,3623287.24,616794.47,848795.85,1638937.72,-1.0324289452676936,5535384,19069932.842105266,1233588.94,1347295.0,3277875.44,24928692.22210527,1.3328254022179558,2023Q3
2023-08-27,California,Weekly,Organic and Conventional,1.4071778015,6474919.67,4014137.91,410129.71,655406.29,1395245.76,2.2550693188229958,3353256,21127041.63157895,820259.42,1040327.4444444444,2790491.52,25778120.016023397,0.7808011997113381,2023Q3
2023-09-03,California,Weekly,Organic and Conventional,1.511525434,6402103.39,3613920.25,509036.99,845295.29,1433850.85,0.1009742340756203,2615314,19020632.89473684,1018073.98,1341738.5555555555,2867701.7,24248147.1302924,0.6473964043914485,2023Q3
2023-09-10,California,Weekly,Organic and Conventional,1.495000792,6532106.48,3656686.71,441910.15,968234.42,1465275.21,2.9297921432892,1816711,19245719.52631579,883820.3,1536880.0317460315,2930550.42,24596970.278061826,0.4433321554592581,2023Q3
2023-09-17,California,Weekly,Organic and Conventional,1.490833973,6415426.07,3877389.66,420804.78,722057.22,1395174.41,-0.8082580374936718,1000047,20407314.0,841609.56,1146122.5714285714,2790348.82,25185394.95142857,0.2383398427860988,2023Q3
2023-09-24,California,Weekly,Organic and Conventional,1.522075228,6102687.27,3670406.75,503446.57,563942.17,1364891.7799999998,1.994847036756052,191707,19317930.263157893,1006893.14,895146.3015873017,2729783.56,23949753.264745194,0.04804651923517874,2023Q3
2023-10-01,California,Weekly,Organic and Conventional,1.4345954399999998,6424414.6,3470341.12,546777.32,570896.5499999999,1836399.61,-1.173835732393498,3700,18264953.263157897,1093554.64,906185.0,3672799.22,23937492.123157896,0.0009277865634025957,2023Q4
2023-10-08,California,Weekly,Organic and Conventional,1.3772196975000002,6777785.21,4043170.31,539940.71,709743.6900000001,1484930.4900000002,1.731515566627173,0,21279843.736842107,1079881.42,1126577.285714286,2969860.9800000004,26456163.422556397,0.0,2023Q4
2023-10-15,California,Weekly,Organic and Conventional,1.4682298955,6094194.8,3608718.41,419161.83,611725.2200000001,1454589.35,-1.1263266218883463,0,18993254.789473686,838323.66,970992.4126984128,2909178.7,23711749.5621721,0.0,2023Q4
2023-10-22,California,Weekly,Organic and Conventional,1.460825226,6085700.9,3775755.22,476387.63,475225.02,1358333.0100000002,-1.6609107800633394,0,19872395.89473684,952775.26,754325.4285714286,2716666.0200000005,24296162.60330827,0.0,2023Q4
2023-10-29,California,Weekly,Organic and Conventional,1.4284628305,6093382.029999999,3864114.38,478157.75,424320.6,1326789.3099999998,-0.1666214001302274,0,20337444.10526316,956315.5,673524.7619047619,2653578.62,24620862.98716792,0.0,2023Q4
2023-11-05,California,Weekly,Organic and Conventional,1.448338218,6316431.3,3846152.37,524588.01,559346.57,1386344.37,-0.854842982765984,0,20242907.21052632,1049176.02,887851.6984126983,2772688.74,24952623.668939017,0.0,2023Q4
2023-11-12,California,Weekly,Organic and Conventional,1.488730818,5828194.94,3326878.8600000003,600328.62,510722.27,1390265.19,1.9312584552774528,0,17509888.736842107,1200657.24,810670.2698412698,2780530.38,22301746.626683373,0.0,2023Q4
2023-11-19,California,Weekly,Organic and Conventional,1.4890435135,5515718.63,3227362.56,588333.56,406208.63,1293813.88,-1.789916792183178,0,16986118.736842107,1176667.12,644775.6031746031,2587627.76,21395189.22001671,0.0,2023Q4
2023-11-26,California,Weekly,Organic and Conventional,1.5077713665,4818344.31,2785418.89,480771.6,377078.02,1175075.8,25.60772225908247,0,14660099.42105263,961543.2,598536.5396825398,2350151.6,18570330.76073517,0.0,2023Q4
2023-12-03,California,Weekly,Organic and Conventional,1.3651423135,6566216.33,4327364.73,605992.75,345533.61,1287325.24,-2.278500783342068,0,22775603.842105266,1211985.5,548466.0476190476,2574650.48,27110705.86972431,0.0,2023Q4
2023-12-10,California,Weekly,Organic and Conventional,1.419349117,5997544.19,3369052.37,509343.92,414860.06,1704287.85,-0.2166439054664889,0,17731854.578947365,1018687.84,658508.0317460317,3408575.7,22817626.1506934,0.0,2023Q4
2023-12-17,California,Weekly,Organic and Conventional,1.3678730225,6146103.45,3958673.12,537361.09,386823.08,1263246.16,-5.73680423545093,0,20835121.684210528,1074722.18,614004.8888888889,2526492.32,25050341.073099416,0.0,2023Q4
2023-12-24,California,Weekly,Organic and Conventional,1.418175616,5797877.14,3627312.14,483954.49,379598.64,1307011.88,2.3294291855062736,0,19091116.52631579,967908.98,602537.5238095238,2614023.76,23275586.79012531,0.0,2023Q4
2023-12-31,California,Weekly,Organic and Conventional,1.352056794,6630802.0200000005,4577114.28,445620.31,364457.84,1243609.58,-2.7376736120241327,0,24090075.157894734,891240.62,578504.5079365079,2487219.16,28047039.445831247,0.0,2023Q4
2024-01-08,California,Weekly,Organic and Conventional,1.402299565,6836443.74,4322189.19,526501.67,372634.26,1615118.62,-1479.6430775887056,0,22748364.15789473,1053003.34,591482.9523809524,3230237.24,27623087.690275684,0.0,2024Q1
2024-01-14,California,Weekly,Organic and Conventional,1.416250934,6953652.890000001,4370571.52,631160.79,405630.18,1546290.41,0.7676342462965484,0,23003008.0,1262321.58,643857.4285714285,3092580.82,28001767.828571428,0.0,2024Q1
2024-01-21,California,Weekly,Organic and Conventional,1.404444999,6619454.44,4042101.97,553114.99,403440.6,1620796.87,-2.4566011558964487,23551,21274220.89473684,1106229.98,640381.9047619047,3241593.74,26262426.519498743,0.005382691691228588,2024Q1
2024-01-28,California,Weekly,Organic and Conventional,1.3652886925,7008727.239999999,4338949.54,540813.15,542515.9,1586448.66,9.873138182113443,59745,22836576.52631579,1081626.3,861136.3492063492,3172897.32,27952236.49552214,0.01282950813025641,2024Q1
2024-02-04,California,Weekly,Organic and Conventional,1.447394283,6769593.02,3918792.83,556799.87,652181.46,1641818.86,0.007770697993826,156540,20625225.42105263,1113599.74,1035208.6666666666,3283637.72,26057671.547719296,0.036059087037681826,2024Q1
2024-02-11,California,Weekly,Organic and Conventional,1.321543061,8986389.459999999,6023497.5,698208.3999999999,593364.46,1671319.1,-1.258312693458964,262425,31702618.42105263,1396416.7999999998,941848.3492063492,3342638.2,37383521.770258985,0.042135678968640386,2024Q1
2024-02-18,California,Weekly,Organic and Conventional,1.4044220985,6497363.12,4149161.85,402589.86,396612.93,1548998.46,-2.9178214395575632,907388,21837693.94736842,805179.72,629544.3333333334,3097996.92,26370414.92070175,0.2065385250485895,2024Q1
2024-02-25,California,Weekly,Organic and Conventional,1.4067832825000002,6712068.010000001,3956623.08,609054.7,510495.98,1635894.25,-0.4967074714263449,289131,20824332.0,1218109.4,810311.0793650793,3271788.5,26124540.97936508,0.06643103101591832,2024Q1
